;apt;cluster;rwy;trajectory;Lat;Lon
60;JAI;1;27;2;26.75514895110847;75.81105436020613
61;JAI;1;27;2;26.74559897343898;75.8251773710821
62;JAI;1;27;2;26.7351099059258;75.84091396253841
63;JAI;1;27;2;26.72360693671877;75.85836544819789
64;JAI;1;27;2;26.71142367324751;75.87733754453375
65;JAI;1;27;2;26.6995450242059;75.89585541621057
66;JAI;1;27;2;26.68729917638817;75.91481255020068
67;JAI;1;27;2;26.67352075281423;75.93049669507873
68;JAI;1;27;2;26.65774977170221;75.94123323395296
69;JAI;1;27;2;26.64180784146687;75.95105733849235
70;JAI;1;27;2;26.62618702056809;75.96062117624983
71;JAI;1;27;2;26.61116813147597;75.96975313037848
72;JAI;1;27;3;26.826225;75.83337222
73;JAI;1;27;3;26.82373394888889;75.80685863888888
74;JAI;1;27;3;26.82314503479829;75.80056188850064
75;JAI;1;27;3;26.82103523683575;75.7814521261272
76;JAI;1;27;3;26.81627395751167;75.76983432734883
77;JAI;1;27;3;26.81077337767782;75.76507477605196
78;JAI;1;27;3;26.80583062989557;75.76295939727989
79;JAI;1;27;3;26.79969654900638;75.76199718017546
80;JAI;1;27;3;26.78954907855633;75.76371272674709
81;JAI;1;27;3;26.77964954513029;75.76892110766714
82;JAI;1;27;3;26.77080433901253;75.77495500088875
83;JAI;1;27;3;26.76206961304633;75.78291521568201
84;JAI;1;27;3;26.75117223735015;75.7943886945994
85;JAI;1;27;3;26.74039658476492;75.80737913873563
86;JAI;1;27;3;26.72780956711295;75.8190835664956
87;JAI;1;27;3;26.71369501345137;75.83121419322596
88;JAI;1;27;3;26.69840449282176;75.84355788655837
89;JAI;1;27;3;26.68389115795711;75.85598714619056
90;JAI;1;27;3;26.66818340888561;75.86759624109636
91;JAI;1;27;3;26.65199559375825;75.87941353949718
92;JAI;1;27;3;26.63602676538064;75.89175691923096
93;JAI;1;27;3;26.61991480629859;75.90301906050342
94;JAI;1;27;3;26.60445611179019;75.91440789756146
95;JAI;1;27;3;26.58957781268392;75.92565267970048
96;JAI;1;27;4;26.826225;75.83337222
97;JAI;1;27;4;26.82373394888889;75.80685863888888
98;JAI;1;27;4;26.82324551476814;75.80052445449296
99;JAI;1;27;4;26.82145586645948;75.78099107163722
100;JAI;1;27;4;26.81837286533479;75.76543352436681
101;JAI;1;27;4;26.81326917388966;75.7574223424513
102;JAI;1;27;4;26.80806847515161;75.75284020677664
103;JAI;1;27;4;26.80094868031959;75.75006355315197
104;JAI;1;27;4;26.7894327143059;75.7501007235866
105;JAI;1;27;4;26.77840721781233;75.75345915438947
106;JAI;1;27;4;26.76874840888604;75.75952925173131
107;JAI;1;27;4;26.75917659593864;75.76680503385398
108;JAI;1;27;4;26.74644590378145;75.77458151218984
109;JAI;1;27;4;26.73350042537907;75.78378623656366
110;JAI;1;27;4;26.71999806157797;75.79572461509748
111;JAI;1;27;4;26.70514164017665;75.80778434894779
112;JAI;1;27;4;26.68927119919199;75.81986057805557
113;JAI;1;27;4;26.67411301779619;75.83108355202197
114;JAI;1;27;4;26.65772520877163;75.84176428801418
115;JAI;1;27;4;26.64115395034025;75.85368432857514
116;JAI;1;27;4;26.624793431931;75.8661718812807
117;JAI;1;27;4;26.60877469087706;75.87857512400333
118;JAI;1;27;4;26.5932499144389;75.89057662908921
119;JAI;1;27;4;26.57800022307557;75.90200426003558
120;JAI;1;27;5;26.826225;75.83337222
121;JAI;1;27;5;26.82373394888889;75.80685863888888
122;JAI;1;27;5;26.82334966870416;75.80048565174205
123;JAI;1;27;5;26.82172728958207;75.78069356323006
124;JAI;1;27;5;26.81979772147552;75.7624460129173
125;JAI;1;27;5;26.81671971872006;75.74684252624856
126;JAI;1;27;5;26.81126226265031;75.73839839314415
127;JAI;1;27;5;26.80262910995431;75.7340479641411
128;JAI;1;27;5;26.78928903476601;75.73329344520002
129;JAI;1;27;5;26.77704581575719;75.73651520196698
130;JAI;1;27;5;26.76625785614014;75.740842506775
131;JAI;1;27;5;26.75563204166642;75.74706667362341
132;JAI;1;27;5;26.74167999231918;75.75460846621056
133;JAI;1;27;5;26.72693199868047;75.76131456213544
134;JAI;1;27;5;26.71058617433753;75.76758
135;JAI;1;27;5;26.69317880373956;75.77501512611094
136;JAI;1;27;5;26.67572654848726;75.78471753116325
137;JAI;1;27;5;26.66059960223739;75.79666671902824
138;JAI;1;27;5;26.64463919771985;75.80944159196336
139;JAI;1;27;5;26.62712057314741;75.82038054723665
140;JAI;1;27;5;26.61040928660916;75.83341055485954
141;JAI;1;27;5;26.59222065860025;75.8422518276564
142;JAI;1;27;5;26.57634672826623;75.85463005817941
143;JAI;1;27;5;26.56152017923548;75.86834207248098
144;JAI;1;27;6;26.826225;75.83337222
145;JAI;1;27;6;26.82373394888889;75.80685863888888
146;JAI;1;27;6;26.82350412844599;75.80042810746562
147;JAI;1;27;6;26.82203861936177;75.78035231291219
148;JAI;1;27;6;26.82027823513406;75.76143851467553
149;JAI;1;27;6;26.81818444491367;75.7423514865208
150;JAI;1;27;6;26.8145330514134;75.72360839169063
151;JAI;1;27;6;26.80471905963826;75.7141293823095
152;JAI;1;27;6;26.78909177741322;75.71021876633725
153;JAI;1;27;6;26.77483346606327;75.70898039120755
154;JAI;1;27;6;26.76247783868168;75.71248084196273
155;JAI;1;27;6;26.74922595127445;75.71139343797364
156;JAI;1;27;6;26.73193264661289;75.71375915847392
157;JAI;1;27;6;26.71497563137689;75.72040985150699
158;JAI;1;27;6;26.69560586966692;75.72278399913145
159;JAI;1;27;6;26.67558698317202;75.72682669761284
160;JAI;1;27;6;26.6565785862901;75.73503609248631
161;JAI;1;27;6;26.63999061382502;75.7441784262445
162;JAI;1;27;6;26.62223525244288;75.75410342125105
163;JAI;1;27;6;26.60120026154614;75.7588668874859
164;JAI;1;27;6;26.58109713624447;75.7666492072287
165;JAI;1;27;6;26.56122311271101;75.7742361909502
166;JAI;1;27;6;26.54569672627599;75.7894493012101
167;JAI;1;27;6;26.52828831191889;75.80046255946179
168;JAI;0;27;7;26.826225;75.83337222
169;JAI;0;27;7;26.82373394888889;75.80685863888888
170;JAI;0;27;7;26.82259904266493;75.80083716568365
171;JAI;0;27;7;26.8176563985357;75.7878732634411
172;JAI;0;27;7;26.80624775744649;75.78226413398254
173;JAI;0;27;7;26.792924289549;75.78182844402247
174;JAI;0;27;7;26.78076488045353;75.78243251133685
175;JAI;0;27;7;26.76882594791516;75.78409257110691
176;JAI;0;27;7;26.75710331985709;75.78645885181842
177;JAI;0;27;7;26.74491807270677;75.7905561076804
178;JAI;0;27;7;26.73366758900499;75.7932288092737
179;JAI;0;27;7;26.72350962653924;75.79327418647141
180;JAI;0;27;7;26.71453768169907;75.79178706877542
181;JAI;0;27;7;26.70630126928932;75.78897472975612
182;JAI;0;27;7;26.70237647224351;75.78817787213313
183;JAI;0;27;7;26.69706322921607;75.7869644069754
184;JAI;0;27;7;26.68641755043963;75.78339164359396
185;JAI;0;27;7;26.67318006304504;75.78051241274311
186;JAI;0;27;7;26.65967516552321;75.77666861416303
187;JAI;0;27;7;26.6450533243257;75.77495674615572
188;JAI;0;27;7;26.63013766431928;75.77390470868339
189;JAI;0;27;7;26.61579251213431;75.77157676732004
190;JAI;0;27;7;26.60146345628687;75.76943889763893
191;JAI;0;27;7;26.58721698469327;75.76750544792266
192;JAI;0;27;8;26.826225;75.83337222
193;JAI;0;27;8;26.82373394888889;75.80685863888888
194;JAI;0;27;8;26.82291731433849;75.80071709288715
195;JAI;0;27;8;26.82013890333571;75.78623360777205
