Unnamed: 0;apt;cluster;rwy;trajectory;Lat;Lon;x (m);y (m)
100;JAI;1;27;4;26.818372865334787;75.76543352436681;-4649.434446943549;-644.7946175792931
101;JAI;1;27;4;26.813269173889662;75.75742234245129;-5446.100897893647;-1209.9689093518987
102;JAI;1;27;4;26.80806847515161;75.75284020677664;-5901.918484260291;-1786.0053798342715
103;JAI;1;27;4;26.80094868031959;75.75006355315197;-6178.367365798434;-2574.7517710629686
104;JAI;1;27;4;26.789432714305896;75.7501007235866;-6175.295627715392;-3850.731069821019
105;JAI;1;27;4;26.77840721781233;75.75345915438946;-5841.901449656648;-5072.5231797908245
106;JAI;1;27;4;26.768748408886037;75.75952925173131;-5238.681939664993;-6142.991335335857
107;JAI;1;27;4;26.75917659593864;75.76680503385398;-4515.432509773815;-7203.8349523631
108;JAI;1;27;4;26.746445903781446;75.77458151218984;-3742.359049606891;-8614.658217141085
109;JAI;1;27;4;26.73350042537907;75.78378623656366;-2827.0251718070876;-10049.265276550736
110;JAI;1;27;4;26.719998061577968;75.79572461509748;-1639.4948859879387;-11545.547573711201
111;JAI;1;27;4;26.70514164017665;75.8077843489478;-439.612235466368;-13191.749190988734
112;JAI;1;27;4;26.68927119919199;75.81986057805557;762.231589845223;-14950.190766441254
113;JAI;1;27;4;26.67411301779619;75.83108355202197;1879.4648476706502;-16629.611882064764
114;JAI;1;27;4;26.65772520877163;75.84176428801419;2943.045336682839;-18445.190406472542
115;JAI;1;27;4;26.641153950340254;75.85368432857514;4130.333459533895;-20280.965767458783
116;JAI;1;27;4;26.624793431931;75.86617188128069;5374.470950486752;-22093.255212147946
117;JAI;1;27;4;26.608774690877063;75.87857512400332;6610.548190080144;-23867.55705583629
118;JAI;1;27;4;26.593249914438896;75.8905766290892;7806.92102720505;-25587.030814545797
119;JAI;1;27;4;26.57800022307557;75.90200426003558;8946.425938504875;-27275.951975284777
120;JAI;1;27;5;26.826225;75.83337222;2104.4681153060433;224.54698071859877
121;JAI;1;27;5;26.82373394888889;75.80685863888887;-531.1791275734882;-51.627640652433556
